Long,Lat,Date,Cases
-74.8649,40.0712,3/2/20,0
-75.1196,39.9259,3/2/20,0
-74.1285,40.8568,3/2/20,0
-74.2632,40.6976,3/2/20,0
-106.8287,39.6553,3/2/20,0
-105.5943,40.6956,3/2/20,0
-104.3326,39.6203,3/2/20,0
-106.9253,38.5458,3/2/20,0
-88.4016,41.9879,3/2/20,0
-75.2479,41.0458,3/2/20,0
-75.1652,39.9526,3/2/20,0
-76.2859,36.8508,3/2/20,0
-77.09100000000001,38.8816,3/2/20,0
-77.6078,38.2042,3/2/20,0
-77.6536,39.0768,3/2/20,0
-76.8721,38.7849,3/2/20,0
-95.4778,41.3912,3/2/20,0
-80.607,34.2465,3/2/20,0
-111.6661,32.0575,3/2/20,0
-85.355,41.4277,3/2/20,0
-77.2865,39.8522,3/2/20,0
-86.4997,40.0106,3/2/20,0
-89.5498,43.0186,3/2/20,0
-92.3814,44.7509,3/2/20,0
-81.6758,41.4339,3/2/20,0
-111.9522,41.2603,3/2/20,0
-73.4379,41.1954,3/2/20,0
117.2264,31.8257,3/3/20,990
116.4142,40.1824,3/3/20,414
107.874,30.0572,3/3/20,576
117.9874,26.0789,3/3/20,296
103.8343,36.0611,3/3/20,91
113.4244,23.3417,3/3/20,1350
108.7881,23.8298,3/3/20,252
106.8748,26.8154,3/3/20,146
109.7453,19.1959,3/3/20,168
114.5149,38.0428,3/3/20,318
127.7615,47.861999999999995,3/3/20,480
113.61399999999999,33.882020000000004,3/3/20,1272
112.2707,30.9756,3/3/20,67217
111.7088,27.6104,3/3/20,1018
113.9448,44.0935,3/3/20,75
119.455,32.9711,3/3/20,631
115.7221,27.614,3/3/20,935
126.1923,43.6661,3/3/20,93
122.6085,41.2956,3/3/20,125
106.1655,37.2692,3/3/20,74
95.9956,35.7452,3/3/20,18
108.8701,35.1917,3/3/20,245
118.1498,36.3427,3/3/20,758
121.4491,31.201999999999998,3/3/20,338
112.2922,37.5777,3/3/20,133
102.7103,30.6171,3/3/20,538
117.323,39.3054,3/3/20,136
88.0924,31.6927,3/3/20,1
85.2401,41.1129,3/3/20,76
101.48700000000001,24.974,3/3/20,174
120.0934,29.1832,3/3/20,1213
101.0,15.0,3/3/20,43
138.0,36.0,3/3/20,293
-122.3321,47.6062,3/3/20,21
-87.6976,41.7377,3/3/20,4
103.8333,1.2833,3/3/20,110
2.0,47.0,3/3/20,204
84.25,28.1667,3/3/20,1
112.5,2.5,3/3/20,36
-123.1207,49.2827,3/3/20,9
